Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Wise,0,11,6500,5,0.015151515
Abraham Ancer,26705,1,5500,2,0.017857143
Adam Scott,35670,18,5000,4,0.019607843
Alexander Noren,287000,1,13000,6,0.007633588
Andrew Putnam,0,1,10000,NA,0.00990099
Billy Horschel,287000,25,5000,3,0.019607843
Branden Grace,20869,2,15000,6,0.006622517
Brooks Koepka,434600,5,3000,1,0.032258065
Bubba Watson,133250,27,4000,6,0.024390244
Cameron Davis,0,6,13000,5,0.007633588
Carlos Ortiz,45715,6,15000,5,0.006622517
Charley Hoffman,17302,9,10000,4,0.00990099
Corey Conners,35670,18,5000,3,0.019607843
Daniel Berger,0,4,2500,2,0.038461538
Emiliano Grillo,0,4,20000,5,0.004975124
Gary Woodland,0,4,10000,6,0.00990099
Harold Varner III,0,1,5000,NA,0.019607843
Harris English,0,1,6500,2,0.015151515
Hideki Matsuyama,248050,35,1400,2,0.066666667
Jon Rahm,198850,50,600,1,0.142857143
Jordan Spieth,18368,12,1600,1,0.058823529
Justin Thomas,248050,34,1000,1,0.090909091
Keegan Bradley,58630,7,13000,4,0.007633588
Keith Mitchell,198850,1,13000,NA,0.007633588
Kevin Kisner,35670,11,13000,4,0.007633588
K.H. Lee,40670,8,13000,5,0.007633588
Louis Oosthuizen,133250,7,3500,2,0.027777778
Matthew Fitzpatrick,198850,34,5000,3,0.019607843
Maverick McNealy,0,2,6000,5,0.016393443
Max Homa,138250,33,7000,4,0.014084507
Patrick Cantlay,893500,11,1600,1,0.058823529
Rickie Fowler,0,19,8000,6,0.012345679
Russell Henley,45715,24,3000,6,0.032258065
Sam Burns,0,4,3000,2,0.032258065
Scottie Scheffler,1484000,19,2200,2,0.043478261
Sebastian Munoz,79130,2,20000,5,0.004975124
Si Woo Kim,58630,11,13000,5,0.007633588
Talor Gooch,64630,27,5000,5,0.019607843
Tony Finau,0,6,3500,2,0.027777778
Viktor Hovland,0,22,1600,1,0.058823529
Webb Simpson,0,3,3500,2,0.027777778
Xander Schauffele,439600,12,2000,1,0.047619048
Zach Johnson,26705,1,15000,NA,0.006622517
Seamus Power,0,0,4000,NA,0.024390244
Luke List,0,0,6000,NA,0.016393443
Tom Hoge,0,0,6500,NA,0.015151515
Francesco Molinari,0,0,10000,NA,0.00990099
Denny McCarthy,0,0,10000,NA,0.00990099
Pat Perez,0,0,10000,NA,0.00990099
Mito Pereira,0,0,10000,NA,0.00990099
Matt Kuchar,0,0,10000,NA,0.00990099
Joel Dahmen,0,0,13000,NA,0.007633588
Charles Howell III,0,0,13000,NA,0.007633588
Brendon Todd,0,0,13000,NA,0.007633588
Adam Hadwin,0,0,13000,NA,0.007633588
Troy Merritt,0,0,13000,NA,0.007633588
Dylan Frittelli,0,0,15000,NA,0.006622517
Russell Knox,0,0,15000,NA,0.006622517
Patrick Rodgers,0,0,15000,NA,0.006622517
Nick Taylor,0,0,15000,NA,0.006622517
Nate Lashley,0,0,15000,NA,0.006622517
Brian Harman,0,0,15000,6,0.006622517
Brandt Snedeker,0,0,15000,NA,0.006622517
Brendan Steele,0,0,15000,NA,0.006622517
Michael Thompson,0,0,15000,NA,0.006622517
Beau Hossler,0,0,15000,NA,0.006622517
Matthew Wallace,0,0,15000,NA,0.006622517
Martin Laird,0,0,15000,NA,0.006622517
Lucas Herbert,0,0,15000,5,0.006622517
Wyndham Clark,0,0,15000,NA,0.006622517
James Hahn,0,0,20000,NA,0.004975124
J.T. Poston,0,0,20000,NA,0.004975124
Hudson Swafford,0,0,20000,NA,0.004975124
Scott Piercy,0,0,20000,NA,0.004975124
Sahith Theegala,0,0,20000,NA,0.004975124
Doug Ghim,0,0,20000,NA,0.004975124
Danny Lee,0,0,20000,NA,0.004975124
Chez Reavie,0,0,20000,NA,0.004975124
Patton Kizzire,0,0,20000,NA,0.004975124
Chris Kirk,0,0,20000,6,0.004975124
Cheng Tsung Pan,0,0,20000,NA,0.004975124
Matthew NeSmith,0,0,20000,NA,0.004975124
Adam Long,0,0,20000,NA,0.004975124
Matt Jones,0,0,20000,NA,0.004975124
Stewart Cink,0,0,20000,NA,0.004975124
Kevin Streelman,0,0,20000,NA,0.004975124
Joseph Bramlett,0,0,25000,NA,0.003984064
Sepp Straka,0,0,25000,NA,0.003984064
Garrick Higgo,0,0,25000,NA,0.003984064
Scott Stallings,0,0,25000,NA,0.003984064
Austin Eckroat,0,0,25000,NA,0.003984064
Lucas Glover,0,0,25000,NA,0.003984064
Stephan Jaeger,0,0,30000,NA,0.003322259
Jason Dufner,0,0,30000,NA,0.003322259
Henrik Norlander,0,0,30000,NA,0.003322259
Harry Higgs,0,0,30000,NA,0.003322259
Hank Lebioda,0,0,30000,NA,0.003322259
Robert Streb,0,0,30000,NA,0.003322259
Roger Sloan,0,0,30000,NA,0.003322259
Peter Malnati,0,0,30000,NA,0.003322259
Brian Stuard,0,0,30000,NA,0.003322259
Adam Schenk,0,0,30000,NA,0.003322259
