Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Rai,0,1,25000,NA,0.003984064
Aaron Wise,183000,3,18000,5,0.005524862
Adam Scott,87600,14,3500,4,0.027777778
Billy Horschel,913000,6,5500,3,0.017857143
Branden Grace,0,1,25000,6,0.003984064
Brian Harman,0,2,NA,6,NA
Brooks Koepka,0,1,NA,1,NA
Cameron Champ,26040,8,25000,5,0.003984064
Cameron Davis,0,1,20000,5,0.004975124
Cameron Tringale,0,1,6500,4,0.015151515
Carlos Ortiz,0,9,15000,5,0.006622517
Charles Howell III,67000,1,18000,NA,0.005524862
Chris Kirk,463500,28,7000,6,0.014084507
Corey Conners,291000,3,7000,3,0.014084507
Erik Van Rooyen,0,5,10000,6,0.00990099
Gary Woodland,463500,20,6500,6,0.015151515
Hideki Matsuyama,131400,30,2500,2,0.038461538
Jason Kokrak,87600,13,5000,2,0.019607843
Jon Rahm,183000,46,750,1,0.117647059
Justin Rose,0,2,6000,4,0.016393443
Keegan Bradley,291000,1,13000,4,0.007633588
Keith Mitchell,26040,5,4500,NA,0.02173913
Kevin Kisner,0,3,13000,4,0.007633588
Kevin Na,0,1,7000,3,0.014084507
K.H. Lee,37464,6,15000,5,0.006622517
Louis Oosthuizen,0,1,NA,2,NA
Lucas Herbert,390000,1,25000,5,0.003984064
Marc Leishman,24720,39,2800,4,0.034482759
Matthew Fitzpatrick,339000,22,2000,3,0.047619048
Matthew Wolff,26040,1,11000,3,0.009009009
Maverick McNealy,23880,22,5000,5,0.019607843
Max Homa,183000,15,4500,4,0.02173913
Patrick Reed,0,1,15000,2,0.006622517
Paul Casey,24120,2,3500,3,0.027777778
Rickie Fowler,28170,9,15000,6,0.006622517
Rory McIlroy,233000,50,1000,1,0.090909091
Russell Henley,228000,12,4000,6,0.024390244
Sam Burns,339000,5,5000,2,0.019607843
Scottie Scheffler,2160000,34,1600,2,0.058823529
Seamus Power,0,1,6000,NA,0.016393443
Sebastian Munoz,87600,4,13000,5,0.007633588
Sergio Garcia,53400,1,5000,4,0.019607843
Shane Lowry,0,1,NA,4,NA
Si Woo Kim,87600,5,13000,5,0.007633588
Sung Jae Im,131400,10,2200,3,0.043478261
Talor Gooch,395000,18,6500,5,0.015151515
Tyrrell Hatton,908000,11,2800,NA,0.034482759
Viktor Hovland,908000,28,1800,1,0.052631579
Will Zalatoris,53400,35,2500,3,0.038461538
Christiaan Bezuidenhout,0,0,5000,NA,0.019607843
Tommy Fleetwood,0,0,5000,NA,0.019607843
Luke List,0,0,7000,NA,0.014084507
Lanto Griffin,0,0,7500,NA,0.013157895
Cameron Young,0,0,8000,NA,0.012345679
Ian Poulter,0,0,10000,NA,0.00990099
Tom Hoge,0,0,10000,NA,0.00990099
Troy Merritt,0,0,10000,NA,0.00990099
Sepp Straka,0,0,10000,NA,0.00990099
Denny McCarthy,0,0,13000,NA,0.007633588
Thomas Pieters,0,0,13000,NA,0.007633588
Lee Westwood,0,0,13000,NA,0.007633588
Brendon Todd,0,0,15000,NA,0.006622517
Dylan Frittelli,0,0,15000,NA,0.006622517
Sahith Theegala,0,0,15000,NA,0.006622517
Andrew Putnam,0,0,15000,NA,0.006622517
Lucas Glover,0,0,15000,NA,0.006622517
Matt Jones,0,0,15000,NA,0.006622517
Taylor Moore,0,0,15000,NA,0.006622517
Martin Laird,0,0,15000,NA,0.006622517
J.J. Spaun,0,0,18000,NA,0.005524862
Pat Perez,0,0,18000,NA,0.005524862
Nicolai Hojgaard,0,0,18000,NA,0.005524862
Sam Ryder,0,0,18000,NA,0.005524862
Nick Taylor,0,0,18000,NA,0.005524862
Takumi Kanaya,0,0,18000,NA,0.005524862
Beau Hossler,0,0,20000,NA,0.004975124
Patton Kizzire,0,0,20000,NA,0.004975124
Garrick Higgo,0,0,20000,NA,0.004975124
Kevin Streelman,0,0,20000,NA,0.004975124
Min Woo Lee,0,0,20000,NA,0.004975124
Chez Reavie,0,0,20000,NA,0.004975124
Matt Wallace,0,0,20000,NA,0.004975124
Lee Hodges,0,0,20000,NA,0.004975124
Alex Smalley,0,0,25000,NA,0.003984064
Patrick Rodgers,0,0,25000,NA,0.003984064
Taylor Pendrith,0,0,25000,NA,0.003984064
Padraig Harrington,0,0,25000,NA,0.003984064
Adam Svensson,0,0,25000,NA,0.003984064
Adam Long,0,0,25000,NA,0.003984064
Sean O Hair,0,0,25000,NA,0.003984064
Henrik Stenson,0,0,25000,NA,0.003984064
Hudson Swafford,0,0,25000,NA,0.003984064
Danny Willett,0,0,25000,NA,0.003984064
Brandt Snedeker,0,0,25000,NA,0.003984064
Zach Johnson,0,0,25000,NA,0.003984064
Greyson Sigg,0,0,25000,NA,0.003984064
Doug Ghim,0,0,25000,NA,0.003984064
Scott Piercy,0,0,25000,NA,0.003984064
Danny Lee,0,0,25000,NA,0.003984064
Davis Riley,0,0,30000,NA,0.003322259
Graeme McDowell,0,0,30000,NA,0.003322259
Vincent Whaley,0,0,30000,NA,0.003322259
Rory Sabbatini,0,0,30000,NA,0.003322259
Stephan Jaeger,0,0,30000,NA,0.003322259
Brendan Steele,0,0,30000,NA,0.003322259
Peter Malnati,0,0,30000,NA,0.003322259
Scott Stallings,0,0,40000,NA,0.002493766
Hayden Buckley,0,0,40000,NA,0.002493766
Michael Thompson,0,0,40000,NA,0.002493766
Kevin Tway,0,0,40000,NA,0.002493766
Anirban Lahiri,0,0,50000,NA,0.001996008
Greg Koch,0,0,50000,NA,0.001996008
Charl Schwartzel,0,0,50000,NA,0.001996008
Jonathan Byrd,0,0,50000,NA,0.001996008
Davis Thompson,0,0,50000,NA,0.001996008
Paul Barjon,0,0,50000,NA,0.001996008
Nick Watney,0,0,50000,NA,0.001996008
Henrik Norlander,0,0,50000,NA,0.001996008
Adam Schenk,0,0,50000,NA,0.001996008
John Pak,0,0,50000,NA,0.001996008
Trey Mullinax,0,0,50000,NA,0.001996008
